run_id,task_suite,batch_size,n_episodes,gpu_id,success_rate,successes,failures,exit_code,status,stdout_log,stderr_log,video_path
baseline_b1_e2,libero_object,1,2,0,0.65,13,7,0,pass,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/baseline_b1_e2/stdout.log,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/baseline_b1_e2/stderr.log,['outputs/eval/2026-02-20/09-44-25_libero_pi0/videos/libero_object_0/eval_episode_0.mp4
baseline_b1_e2_glx,libero_object,1,2,0,,,,1,fail,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/baseline_b1_e2_glx/stdout.log,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/baseline_b1_e2_glx/stderr.log,
dryrun,libero_object,1,2,0,,,,0,dry_run,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/dryrun/stdout.log,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/dryrun/stderr.log,
run_s1,libero_object,2,16,0,0.775,12,4,0,pass,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s1/stdout.log,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s1/stderr.log,['outputs/eval/2026-02-20/10-42-43_libero_pi0/videos/libero_object_0/eval_episode_0.mp4
run_s2,libero_object,2,16,1,0.7375,12,4,0,pass,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s2/stdout.log,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s2/stderr.log,['outputs/eval/2026-02-20/10-42-43_libero_pi0/videos/libero_object_0/eval_episode_0.mp4
run_s3,libero_object,2,16,2,0.75,12,4,0,pass,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s3/stdout.log,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s3/stderr.log,['outputs/eval/2026-02-20/10-42-43_libero_pi0/videos/libero_object_0/eval_episode_0.mp4
run_s4,libero_object,2,16,3,0.7875,13,3,0,pass,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s4/stdout.log,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s4/stderr.log,['outputs/eval/2026-02-20/10-42-43_libero_pi0/videos/libero_object_0/eval_episode_0.mp4
run_s5,libero_object,2,16,4,0.7625,12,4,0,pass,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s5/stdout.log,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s5/stderr.log,['outputs/eval/2026-02-20/10-55-08_libero_pi0/videos/libero_object_0/eval_episode_0.mp4
run_s6,libero_object,2,16,5,0.75625,12,4,0,pass,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s6/stdout.log,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s6/stderr.log,['outputs/eval/2026-02-20/10-55-07_libero_pi0/videos/libero_object_0/eval_episode_0.mp4
run_s7,libero_object,2,16,6,0.78125,12,4,0,pass,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s7/stdout.log,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s7/stderr.log,['outputs/eval/2026-02-20/10-55-09_libero_pi0/videos/libero_object_0/eval_episode_0.mp4
run_s8,libero_object,2,16,7,0.75,12,4,0,pass,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s8/stdout.log,tasks/20260210-track-a-lerobot-pi0-libero/artifacts/runs/run_s8/stderr.log,['outputs/eval/2026-02-20/10-55-07_libero_pi0/videos/libero_object_0/eval_episode_0.mp4
